Epoka , blad_glowny 
1230 , 0.053672572228911204
1240 , 0.05247124852689106
1250 , 0.05131647903821278
1260 , 0.05021000944664619
1270 , 0.04914511818441178
1280 , 0.04812277200400702
1290 , 0.047142896122950244
1300 , 0.04619814004303442
1310 , 0.04529220725882574
1320 , 0.044419105049629176
1330 , 0.04357690694447304
1340 , 0.04276697299720661
1350 , 0.04198318836343182
1360 , 0.04122880142191887
1370 , 0.04050085782520436
1380 , 0.039796035295166086
1390 , 0.039116410590326556
1400 , 0.03845761564565366
1410 , 0.03782065001153958
1420 , 0.03720308603171935
1430 , 0.03660490805816818
1440 , 0.03602483617850712
1450 , 0.03546187952756233
1460 , 0.03491574810351361
1470 , 0.034386042799980886
1480 , 0.03387050078237139
1490 , 0.033370482985338575
1500 , 0.03288398261264445
1510 , 0.03240993111117708
1520 , 0.031949269706445474
1530 , 0.03150134139527318
1540 , 0.03106439758281166
1550 , 0.03063834758314521
1560 , 0.03022350890351041
1570 , 0.029819621729311616
1580 , 0.029424629428663876
1590 , 0.029040015569310428
1600 , 0.028664357463847295
1610 , 0.02829800455794422
1620 , 0.027939916358016775
1630 , 0.027589945588955157
1640 , 0.02724816194398546
1650 , 0.026914065419934362
1660 , 0.026587252535010937
1670 , 0.026267673682018922
1680 , 0.025955494769141156
1690 , 0.025649825642515556
1700 , 0.02535028086309067
1710 , 0.025057708467180185
1720 , 0.024770548796062494
1730 , 0.02448961935240502
1740 , 0.024214722407050204
1750 , 0.02394510427795389
1760 , 0.023680979847814393
1770 , 0.02342171796183006
1780 , 0.02316778987983521
1790 , 0.022918996935438807
1800 , 0.022674832332465297
1810 , 0.022435108711279766
1820 , 0.022200265938428984
1830 , 0.021969632118971173
1840 , 0.02174322577523084
1850 , 0.02152099128272571
1860 , 0.021302818665055765
1870 , 0.021088525270719447
1880 , 0.020878114696477004
1890 , 0.020671307694396096
1900 , 0.020468361663082614
1910 , 0.020268702196710255
1920 , 0.020072829277406702
1930 , 0.01988005540103327
1940 , 0.01969047569245945
1950 , 0.019504194145633882
1960 , 0.019321083256093528
1970 , 0.01914097062602435
1980 , 0.018963931806449345
1990 , 0.0187896942076205
2000 , 0.018618169282654164
2010 , 0.018449481190408266
2020 , 0.01828365730287625
2030 , 0.018120278450737687
2040 , 0.017959472772037355
2050 , 0.01780113180988773
2060 , 0.01764530829236649
2070 , 0.01749201335110506
2080 , 0.017340837543638972
2090 , 0.017192207128374624
2100 , 0.017045597628339994
2110 , 0.016901274468355015
2120 , 0.016759195751572458
2130 , 0.01661902248983689
2140 , 0.016481126801737023
2150 , 0.016345090537247007
2160 , 0.016211069772039035
2170 , 0.016079009221278428
2180 , 0.01594869003516124
2190 , 0.01582038884694188
2200 , 0.01569387200268169
2210 , 0.01556904329457869
2220 , 0.015446016600876415
2230 , 0.015324764537475291
2240 , 0.015205046661777456
2250 , 0.015087115946997246
2260 , 0.014970717430263382
2270 , 0.014855886638499344
2280 , 0.014742564943034116
2290 , 0.014630847481874161
2300 , 0.014520540347341536
2310 , 0.014411800068682729
2320 , 0.014304403010329363
2330 , 0.0141984586012651
2340 , 0.01409382852554849
2350 , 0.01399054589713135
2360 , 0.013888631407166485
2370 , 0.013788063834507529
2380 , 0.013688709201258222
2390 , 0.013590686762016708
2400 , 0.013493826281736124
2410 , 0.013398199738755952
2420 , 0.013303766981018648
2430 , 0.013210514656818785
2440 , 0.013118405748297207
2450 , 0.013027359743831356
2460 , 0.012937495381595013
2470 , 0.012848752330823549
2480 , 0.01276104981016506
2490 , 0.012674361517861244
2500 , 0.012588700689887138
2510 , 0.01250413541190022
2520 , 0.01242052467845094
2530 , 0.012337916092379456
2540 , 0.012256208325997345
2550 , 0.012175542106224495
2560 , 0.012095748012196398
2570 , 0.012016918169353312
2580 , 0.011938953325187207
2590 , 0.011861865700843029
2600 , 0.011785721789095326
2610 , 0.011710364562720127
2620 , 0.011635928962899403
2630 , 0.011562300677038784
2640 , 0.011489476149855113
2650 , 0.011417472101808514
2660 , 0.011346263022498167
2670 , 0.011275845964082576
2680 , 0.011206176817432119
2690 , 0.011137275792053659
2700 , 0.011069133399659448
2710 , 0.01100173141923304
2720 , 0.010935034683840404
2730 , 0.01086907090125247
2740 , 0.010803799333952913
2750 , 0.010739184058580042
2760 , 0.01067531462818673
2770 , 0.010612093827568761
2780 , 0.010549502042763576
2790 , 0.010487609226468964
2800 , 0.010426341371542136
2810 , 0.010365686220132928
2820 , 0.01030569633627857
2830 , 0.010246280093024262
2840 , 0.010187517733323282
2850 , 0.010129296528198613
2860 , 0.010071692216660788
2870 , 0.01001469283500645
2880 , 0.0099582376158525
2890 , 0.009902346299046419
2900 , 0.009846997000470991
2910 , 0.009792209951302783
2920 , 0.009737984634903657
2930 , 0.009684279240760733
2940 , 0.009631091573197165
2950 , 0.009578432676637143
2960 , 0.00952627216360671
2970 , 0.009474595235362909
2980 , 0.009423461689183815
2990 , 0.009372777143466602
3000 , 0.009322619369825843
3010 , 0.00927289317064798
3020 , 0.009223677894575406
3030 , 0.009174917174990216
3040 , 0.009126603783787868
3050 , 0.009078746474241069
3060 , 0.009031343090441853
3070 , 0.008984349187950673
3080 , 0.008937828372839648
3090 , 0.008891707163566645
3100 , 0.008846025242259904
